                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2043,                  5.571,                0.98842,                  0.022,                0.24055,                0.10606,                0.07716,                 1.0496,                 3.7199,                0.88776,              0.0001719,              0.0001719,              0.0001719
                      2,                 1.1429,                 3.4642,                0.95921,                0.98398,                0.04461,                0.21539,                0.15006,                 1.0298,                 2.8963,                0.91957,             0.00034608,             0.00034608,             0.00034608
                      3,                 1.1192,                 2.8721,                0.94953,                0.50581,                0.27766,                0.28771,                0.18514,                 1.1158,                 1.5859,                0.93937,             0.00051911,             0.00051911,             0.00051911
                      4,                 1.0877,                 2.5934,                0.95202,                0.63135,                0.32094,                0.31954,                0.21936,                 1.0188,                 1.2728,                0.91525,             0.00052079,             0.00052079,             0.00052079
                      5,                 1.0611,                 2.4096,                0.96084,                0.51708,                0.36765,                0.34511,                0.24142,                 1.0236,                 1.1047,                0.92201,             0.00051906,             0.00051906,             0.00051906
                      6,                  1.037,                 2.2038,                0.94195,                0.68462,                0.35021,                0.38814,                 0.2769,                0.99092,                 1.0465,                0.91108,             0.00051732,             0.00051732,             0.00051732
                      7,                0.99682,                 1.9346,                0.91634,                0.85607,                0.32487,                0.47987,                0.34647,                0.93788,                0.96901,                0.90507,             0.00051559,             0.00051559,             0.00051559
                      8,                 1.0182,                 1.8604,                0.92299,                0.51539,                0.49943,                0.48051,                 0.3501,                0.93978,                0.95731,                 0.9015,             0.00051385,             0.00051385,             0.00051385
                      9,                0.99756,                 1.6937,                0.93259,                0.40087,                0.57675,                0.46483,                0.33596,                0.94737,                0.92269,                0.90263,             0.00051211,             0.00051211,             0.00051211
                     10,                0.96214,                 1.5883,                0.92625,                0.60047,                0.50802,                0.52046,                0.35426,                0.97422,                0.95449,                0.90094,             0.00051038,             0.00051038,             0.00051038
                     11,                0.99277,                 1.5645,                0.93079,                0.49486,                0.52693,                0.49992,                0.36319,                0.93067,                0.84645,                0.90228,             0.00050864,             0.00050864,             0.00050864
                     12,                0.96161,                  1.445,                0.92326,                0.59087,                0.47965,                0.53679,                0.39359,                0.90993,                0.85799,                0.90232,             0.00050691,             0.00050691,             0.00050691
                     13,                0.98089,                 1.3908,                0.92668,                0.48501,                0.71569,                0.52442,                0.37453,                0.94693,                0.85059,                0.91091,             0.00050517,             0.00050517,             0.00050517
                     14,                0.92179,                 1.2621,                0.91475,                0.52098,                0.59206,                0.61381,                0.44324,                 0.9207,                0.81735,                0.90422,             0.00050343,             0.00050343,             0.00050343
                     15,                0.94822,                 1.2159,                0.90476,                0.57336,                0.67416,                0.66533,                0.48201,                0.93507,                0.78102,                0.89537,              0.0005017,              0.0005017,              0.0005017
